City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,bardai,11.65,7.2333,24.51,69,100,5.9,NG,1686684611
335,qujing,25.4833,103.7833,16.17,75,100,0.23,CN,1686684611
336,santa cruz cabralia,-16.2781,-39.0247,25.13,83,75,1.54,BR,1686684612
337,jumla,29.2747,82.1838,14.35,82,24,0.39,NP,1686684612
338,nishinoomote,30.7333,131.0,23.72,92,100,7.69,JP,1686684612
339,papao,-17.75,-149.55,27.82,77,44,11.97,PF,1686684612
340,malpe,13.35,74.7167,25.61,80,75,1.82,IN,1686684612
341,salinas,36.6777,-121.6555,20.45,75,100,5.14,US,1686684560
342,akureyri,65.6835,-18.0878,13.96,58,0,6.17,IS,1686684612
343,fort saskatchewan,53.7168,-113.2187,28.71,51,100,6.69,CA,1686684612
344,pindushi,62.9152,34.58,13.98,70,100,0.74,RU,1686684613
345,carnarvon,-24.8667,113.6333,15.64,39,0,7.68,AU,1686684613
346,dolinsk,47.35,142.8,10.91,99,100,0.63,RU,1686684613
347,slave lake,55.2834,-114.769,19.99,73,100,3.09,CA,1686684613
348,sena madureira,-9.0656,-68.6569,18.75,95,100,3.02,BR,1686684613
349,ulanhot,46.0833,122.0833,19.52,52,65,3.81,CN,1686684613
350,tamanrasset,22.785,5.5228,33.95,14,40,2.06,DZ,1686684426
351,brisas de zicatela,15.8369,-97.0419,32.22,62,10,3.58,MX,1686684614
352,imbituba,-28.24,-48.6703,12.01,91,100,4.41,BR,1686684614
353,sinabang,2.4803,96.3801,26.77,77,42,0.89,ID,1686684614
354,usinsk,65.9939,57.5281,11.04,95,100,5.41,RU,1686684436
355,kyenjojo,0.6328,30.6214,17.67,92,100,0.64,UG,1686684614
356,chiredzi,-21.05,31.6667,16.09,24,0,3.0,ZW,1686684614
357,broken hill,-31.95,141.4333,7.77,85,5,3.43,AU,1686684614
358,el bordo,2.117,-76.9821,30.96,44,34,0.98,CO,1686684615
359,kursk,51.7303,36.1939,14.11,76,0,3.13,RU,1686684615
360,port-vila,-17.7338,168.3219,21.78,94,100,1.54,VU,1686684615
